Season,Player,MP,PTS,AST,TRB,STL,BLK,TS%,PER,WS,BPM,VORP,USG%,W/L%,PTS_W/L,Share
2015,Russell Westbrook,1.5625224172163936,3.6277007615873265,3.693883964036877,1.391256054487441,3.342619681282469,-0.5109218042269237,0.23244030527579582,3.3137005481867896,2.666795233982376,3.067388525531686,3.8375554497883377,3.9472336977724765,0.549,3.35843487752827,0.271
2015,James Harden,1.8876486719300605,3.4921078569086044,2.784108150104761,0.7112799169939519,2.851762206595573,0.5677493581471168,1.409621872811104,2.7906693109124316,4.710705075865282,3.3100469523978058,5.584340596841677,2.486800375342359,0.683,4.384658561402669,0.72
2015,Kevin Durant,1.4812408535379766,3.104699557826543,1.1351394873528002,1.0937664943340393,0.3974748331610957,0.9992178230967331,1.8873187407964473,2.986806024890316,0.6228853920994708,3.7260328270254384,1.5591400405883302,2.034271740223168,0.549,2.89569300224855,0.0
2015,LeBron James,1.7928201809719082,3.0853291428724408,3.0115521035877904,0.838775442773981,2.11547599456523,0.5677493581471168,0.9319250048257608,2.616325565154312,2.596315584262276,2.7207336300086586,3.761608269481671,2.6924952094874453,0.646,3.6446711491628747,0.425
2015,Anthony Davis,1.7928201809719082,2.9109954082855127,0.05478070830841266,2.62371280369439,1.8700472572217823,5.313902472592895,1.1707734388184325,3.684181007922793,3.86494927922408,3.3447124419501084,4.52108007254834,1.7668684558345547,0.549,2.7243071225153206,0.156
2015,Carmelo Anthony,1.7386324718529638,2.872254578377307,0.566529603645228,1.0937664943340393,0.6429035705045435,-0.07945333927730745,0.14713729313555596,1.6574349634846568,-0.04667128024148094,1.2994485583642463,0.7996682375216612,2.6719257260729377,0.207,0.10631756947559706,0.0
2015,DeMarcus Cousins,1.5218816353771856,2.852884163423204,0.8508345454990143,3.6861755185279668,1.8700472572217823,2.725091682895198,0.3859857271282276,2.463774787615958,1.045763290420072,1.750099922544182,1.8629287618149981,3.062745910948603,0.354,1.2058094973816698,0.0
2015,Stephen Curry,1.33222465346088,2.7947729185608945,3.182135068700062,0.11630079668714854,3.097190943939021,-0.5109218042269237,1.9726217529366872,3.0739778977693755,4.464026301844931,3.6913673374731357,5.432446236228343,1.99313277339415,0.817,4.612673582453944,0.922
2015,LaMarcus Aldridge,1.6979916900137548,2.717291258744482,-0.22952423354537377,2.62371280369439,-0.0933826415258,1.2149520555715412,0.09595548585141205,1.9407435503416006,1.9619987367813743,1.2647830688119435,1.7869815815083312,2.260536057782763,0.622,3.0861841931651552,0.005
2015,Kobe Bryant,1.5760693444961298,2.5042166942493487,1.9880543129141592,0.7112799169939519,1.3791897825348869,-0.5109218042269237,-0.7741352379790346,0.8075092029138258,-0.9981465514628334,0.36348034045207206,-0.035750745851674946,3.227301778264672,0.256,0.3246550636202614,0.0
2015,Blake Griffin,1.6708978354542832,2.426735034432936,1.8174713478018876,1.5187515802674703,0.3974748331610957,0.1362808931975006,0.4883493416965154,1.9407435503416006,2.1029580362215747,1.6461034538872739,2.1667174830416656,1.8902853563216064,0.683,3.211960825122384,0.002
2015,Kyrie Irving,1.833460962811116,2.38799420452473,1.7606103594311304,-0.3511827978396252,1.8700472572217823,-0.29518757175211563,1.0342886193940486,1.6574349634846568,2.596315584262276,1.6807689434395765,2.6224005648816675,1.4377567212024152,0.646,2.9186693241945716,0.0
2015,Klay Thompson,1.2238492352229904,2.38799420452473,0.45280762690371335,-0.3511827978396252,0.8883323078479914,0.7834835906219251,1.1707734388184325,1.5048841859463025,2.032478386501475,1.7847654120964849,2.4705062042683332,1.7257294890055375,0.817,4.077069294916054,0.001
2015,Dwyane Wade,1.2103023079432544,2.349253374616524,1.5331664059481012,-0.22368727205959604,1.1337610451914388,-0.29518757175211563,0.19831910041969988,1.6356419952648915,0.16476766891881967,0.9874591523935214,1.027509778441662,3.1861628114356555,0.451,1.5695284199266346,0.0
2015,Chris Bosh,1.6979916900137548,2.271771714800112,0.05478070830841266,1.2637605287074118,0.3974748331610957,0.3520151256723087,0.4371675344123715,1.2869545037486536,0.20000749377886978,0.7101352359750995,0.41993233598832663,1.8902853563216064,0.451,1.5132114568958979,0.0
2015,Rudy Gay,1.6979916900137548,2.271771714800112,0.9076955338697715,0.796276934180638,0.6429035705045435,0.3520151256723087,0.5736523538367553,1.2651615355288883,1.081003115280122,1.1954520897073382,1.6350872208949971,1.6023125885184848,0.354,0.8742761562583737,0.0
2015,Damian Lillard,1.7386324718529638,2.252401299846009,2.3292202431387032,0.24379632246717772,1.1337610451914388,-0.29518757175211563,0.6418947635489471,1.4830912177265374,2.666795233982376,1.888761880753393,3.1540308270283357,1.5817431051039759,0.622,2.6201644458686806,0.0
2015,DeMar DeRozan,1.6438039808948106,2.078067565259081,0.7939735571282569,0.24379632246717772,1.1337610451914388,-0.5109218042269237,-0.21113535785345147,0.7639232664742953,0.34096679321907014,-0.05250553417556092,-0.11169792615834184,1.8902853563216064,0.598,2.294812234834124,0.0
2015,Jimmy Butler,2.145040290245048,2.0586971503049782,0.6802515803867424,0.7537784255872948,2.6063334692521263,0.3520151256723087,1.0342886193940486,1.6138490270451271,2.878234183142677,1.8540963912010902,2.6224005648816675,0.4915604841350154,0.61,2.351066762207399,0.0
2015,Kevin Martin,1.4270531444190322,2.0586971503049782,0.11164169667916972,-0.18118876346625293,0.152046095817648,-0.9423902691765399,0.45422813684041946,0.6113724889359412,-0.3990695288419819,0.016825444929044597,-0.2635922867716756,1.5200346548604504,0.195,-0.2400130224661962,0.0
